F2O7_S29_L004,F2R23_S11_L004,F1O10_S21_L004,F2R33_S16_L004,F1O8_S19_L004,F2O15_S33_L004,F1O9_S20_L004,F2R24_S12_L004,F1R11_S9_L004,F1O11_S22_L004,F2R26_S13_L004,F2R35_S17_L004,F2O1_S26_L004,F204_S27_L004,F1R5_S6_L004,F2O9_S30_L004,F2R22_S10_L004,F1O12_S23_L004,F2O14_S32_L004,F1R3_S4_L004,F1R9_S8_L004,F1O13_S24_L004,F1O14_S25_L004,F1R1_S3_L004,F2O12_S31_L004,F2R30_S15_L004,F2R28_S14_L004,F1O3_S18_L004,F1R7_S7_L004,F2O5_S28_L004,F1R4_S5_L004
Bla|CTX-M-22_3_EU376964|betalactams|Class_A_betalactamases|CTX,0,0,0,0,0,0,0,81.0,0,0,0,81.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phe|fexA_1_AJ549214|Phenicol|Phenicol_efflux_pumps|FEXA,0,0,0,0,0,0,27.0,89.0,0,0,0,0,0,0,0,0,76.0,0,0,0,0,0,0,0,0,76.0,0,19.0,182.0,0,1773.0
Tet|tetM_11_JN846696|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,0,0,246.0,0,186.0,0,0,0,758.0,154.0,0,0,0,0,0,0,0,0,0,112.0,0,0,0,0,0,0,0,169.0,84.0,0,488.0
139|AB894099.1|AB894099|Multi-drug_resistance|Multi-drug_efflux_pumps|cme,0,900.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.0,0,0,0,0,0
MLS|lnuF_2_DQ836009|MLS|Lincosamide_nucleotidyltransferases|LNUF,0,0,0,0,61.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.0,15.0,0,0,18.0,0,0,402.0,0,0
Bla|CTX-M-46|AY847147|82-957|876|betalactams|Class_A_betalactamases|CTX,331.0,55.0,0,868.0,0,285.0,0,65.0,0,0,230.0,832.0,318.0,22.0,0,0,78.0,0,111.0,0,0,0,0,0,335.0,720.0,289.0,0,0,0,0
CARD|phgb|U00096|2154015-2155263|ARO:3000792|mdtA|Multi-drug_resistance|Multi-drug_efflux_pumps|MDTA,2379.0,1971.0,2106.0,2386.0,2145.0,2369.0,1833.0,2393.0,2386.0,419.0,2415.0,2403.0,2373.0,2142.0,2367.0,859.0,2401.0,2402.0,2376.0,2396.0,654.0,2349.0,867.0,2406.0,2357.0,2334.0,2401.0,2144.0,553.0,293.0,69.0
Flq|NC_009725.1.5461733|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,0,0,102.0,0,56.0,0,157.0,0,0,124.0,0,0,0,0,0,0,0,85.0,0,0,0,99.0,165.0,0,0,0,0,97.0,0,0,0
Bla|CTX-M-110|JF274242|1-877|877|betalactams|Class_A_betalactamases|CTX,303.0,61.0,0,850.0,0,290.0,0,63.0,0,0,223.0,784.0,268.0,25.0,0,0,65.0,0,80.0,0,0,0,0,0,259.0,751.0,220.0,0,0,0,0
Bla|CTX-M-19|AF325134|1-876|876|betalactams|Class_A_betalactamases|CTX,259.0,63.0,0,807.0,0,258.0,0,59.0,0,0,217.0,801.0,246.0,0,0,0,51.0,0,87.0,0,0,0,0,0,252.0,627.0,202.0,0,0,0,0
Bla|cfxA4|AY769933|1-966|966|betalactams|Class_A_betalactamases|CFX,0,189.0,114.0,0,0,107.0,0,0,0,69.0,132.0,0,0,177.0,0,0,0,0,364.0,0,0,0,199.0,0,0,0,124.0,96.0,0,0,0
MLS|AB000617.1|gene3|Multi-drug_resistance|MDR_regulator|tetR|RequiresSNPConfirmation,0,0,0,0,0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,0,0,0,0,0,0
CARD|phgb|M35190|0-624|ARO:3002670|cat|Phenicol|Chloramphenicol_acetyltransferases|CAT,0,14.0,155.0,6.0,6.0,0,609.0,0,0,214.0,31.0,14.0,0,0,53.0,0,0,12.0,0,9.0,84.0,214.0,316.0,0,29.0,0,14.0,303.0,0,0,47.0
1470|unknown_id|unknown_name|betalactams|Class_A_betalactamases|CARB,54.0,0,24.0,0,0,11.0,28.0,0,0,19.0,0,0,0,0,0,0,0,0,0,0,0,24.0,32.0,0,0,0,0,0,1500.0,0,1535.0
Rif|FN543093.2|gene314|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,0,0,148.0,0,0,0,214.0,0,0,147.0,0,0,0,0,0,0,0,234.0,0,0,0,164.0,201.0,0,0,0,0,167.0,0,0,0
CARD|phgb|U00096|1124117-1125326|ARO:3001216|mdtH|Multi-drug_resistance|Multi-drug_efflux_pumps|MDTH,2218.0,1615.0,1414.0,2277.0,1915.0,2176.0,1373.0,2274.0,2286.0,298.0,2318.0,2299.0,2182.0,1712.0,2233.0,548.0,2265.0,2259.0,2077.0,2255.0,526.0,2015.0,568.0,2281.0,2065.0,2224.0,2296.0,1662.0,412.0,143.0,51.0
gi|428230271|gb|KC107824.1|betalactams|Class_A_betalactamases|CTX,0,0,0,0,0,0,0,85.0,0,0,0,85.0,0,0,0,0,86.0,0,0,0,0,0,0,0,0,18.0,0,0,0,0,0
Phe|AY034138.1|gene10|Phenicol|Phenicol_efflux_pumps|FLOR,1699.0,1353.0,1549.0,1901.0,1553.0,1484.0,1485.0,1727.0,1769.0,1665.0,1661.0,1913.0,1707.0,1777.0,1578.0,1193.0,1739.0,1754.0,1712.0,1722.0,74.0,1656.0,1612.0,1801.0,1073.0,1632.0,1559.0,1367.0,2238.0,233.0,2225.0
Tet|tet32_1_EU722333|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TET32,0,0,843.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433.0,0,0,0
Bla|SHV-75|AM176550|31-891|861|betalactams|Class_A_betalactamases|SHV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bla|SHV-26|AF227204|74-934|861|betalactams|Class_A_betalactamases|SHV,0,0,0,0,0,0,0,42.0,0,0,0,0,0,0,0,0,30.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGly|AadA9|AJ420072|26773-27609|837|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0,0,10.0,0,0,0,17.0,0,262.0,0,0,0,0,0,0,0,0,0,0,0,0,472.0,9.0,15.0,0,0,0,66.0,0,0,0
gi|430804550|gb|KC149518.1|betalactams|Class_A_betalactamases|TEM,111.0,82.0,0,73.0,0,133.0,0,63.0,118.0,0,53.0,147.0,76.0,0,0,0,86.0,0,226.0,103.0,0,0,0,98.0,0,53.0,22.0,0,0,0,0
CARD|pvgb|CP003583|1050805-1052287|ARO:3003092|Enterococcus|Lipopeptides|Daptomycin-resistant_cls|CLS|RequiresSNPConfirmation,0,0,34.0,0,0,0,22.0,0,0,25.0,0,0,0,0,0,0,0,0,0,0,0,0,46.0,0,0,0,0,83.0,0,0,29.0
AGly|Sat4A|X92945|38870-39412|543|Aminoglycosides|Aminoglycoside_N-acetyltransferases|SAT,490.0,1024.0,1014.0,939.0,1012.0,1028.0,1026.0,648.0,1020.0,1019.0,1016.0,920.0,975.0,925.0,952.0,770.0,655.0,949.0,1026.0,1019.0,741.0,915.0,1026.0,924.0,1011.0,728.0,1003.0,1023.0,353.0,595.0,918.0
Bla|cfxA6|GQ342996|798-1793|966|betalactams|Class_A_betalactamases|CFX,0,0,1641.0,0,0,79.0,0,0,0,478.0,0,0,0,0,41.0,653.0,0,0,290.0,0,111.0,87.0,52.0,0,0,0,0,1720.0,0,0,94.0
Bla|SHV-1_16_FJ668800|betalactams|Class_A_betalactamases|SHV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0,0,0,0
Bla|CMY-57|HQ285243|1-1146|1146|betalactams|Class_C_betalactamases|CMY,695.0,0,0,54.0,0,166.0,0,413.0,51.0,0,58.0,110.0,506.0,0,0,0,366.0,302.0,284.0,152.0,0,0,0,441.0,0,0,14.0,0,0,0,0
Bla|CTX-M-105|HQ833651|245-1120|876|betalactams|Class_A_betalactamases|CTX,142.0,0,0,398.0,0,0,0,0,0,0,74.0,374.0,109.0,0,0,0,0,0,0,0,0,0,0,0,118.0,392.0,0,0,0,0,0
AGly|Aac6-Aph2|M13771|304-1743|1440|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0,0,0,0,0,22.0,0,0,0
CARD|pvgb|U00096|1619119-1619554|ARO:3003378|Escherichia|Multi-drug_resistance|MDR_regulator|MARR|RequiresSNPConfirmation,727.0,566.0,465.0,750.0,589.0,710.0,332.0,742.0,753.0,54.0,763.0,754.0,724.0,589.0,741.0,223.0,747.0,751.0,685.0,736.0,144.0,452.0,154.0,738.0,702.0,726.0,747.0,455.0,157.0,36.0,20.0
Bla|OXA-161|GQ202693|1172-1999|828|betalactams|Class_D_betalactamases|OXA,0,0,34.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233|unknown_id|unknown_name|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULIII,0,0,0,0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.0,0,0
Bla|TEM-102|AY029354|3-833|831|betalactams|Class_A_betalactamases|TEM,0,0,0,0,0,0,0,0,28.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1863|AJ620678.1|AJ620678|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0,0,536.0,0,0,0,288.0,0,35.0,0,0,94.0,0,19.0,0,0,0,597.0,0,0,0,0,0,549.0,0,0,0,370.0,349.0,0,352.0
Bla|CMY-3_1_Y16783|betalactams|Class_C_betalactamases|CMY,711.0,0,0,59.0,0,163.0,0,420.0,39.0,0,44.0,123.0,502.0,0,0,0,335.0,333.0,287.0,168.0,0,0,0,461.0,0,0,41.0,0,0,0,0
807|K00544.1|BACCAT86|Phenicol|Chloramphenicol_acetyltransferases|CATA,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185|KF823969.1|KF823969|Glycopeptides|VanB-type_regulator|VANSB,0,0,0,0,0,0,17.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gi|323709060|gb|HQ398214.1|betalactams|Class_A_betalactamases|CTX,0,0,0,389.0,0,0,0,470.0,0,0,0,662.0,0,0,0,0,524.0,0,0,0,0,0,0,0,0,286.0,0,0,0,0,0
gi|5002311|gb|AF148850.1|betalactams|Class_A_betalactamases|SHV,0,0,0,0,0,0,0,19.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGly|aph2-dprime-Ib_1_AF337947|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH2-DPRIME,0,168.0,288.0,0,75.0,908.0,668.0,0,377.0,139.0,27.0,0,150.0,239.0,29.0,55.0,0,15.0,1048.0,53.0,12.0,0,735.0,64.0,553.0,0,0,478.0,0,34.0,0
gi|558607397|gb|KF705208.1|betalactams|Class_A_betalactamases|SHV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
249|AY743590.1|AY743590|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TET39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0,0,0,0
Phe|AY123253|gene|Phenicol|Chloramphenicol_acetyltransferases|CATA,0,0,540.0,0,121.0,209.0,0,0,0,43.0,20.0,0,304.0,869.0,27.0,601.0,0,899.0,399.0,0,0,15.0,34.0,804.0,504.0,359.0,15.0,36.0,448.0,75.0,0
gi|614461916|gb|KJ020574.1|betalactams|Class_A_betalactamases|CTX,245.0,64.0,0,773.0,0,205.0,0,61.0,0,0,187.0,697.0,246.0,0,0,0,43.0,0,81.0,0,0,0,0,0,228.0,669.0,223.0,0,0,0,0
Sul|AL009126.3|gene92|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,0,0,0,0,0,10.0,0,0,0,0,0,0
Bla|TEM-107|AY101764|207-1067|861|betalactams|Class_A_betalactamases|TEM,99.0,0,0,0,0,0,0,56.0,0,0,0,106.0,0,0,0,0,46.0,14.0,0,54.0,0,0,0,73.0,0,0,0,0,0,0,0
ACou|NC_010410.6000336|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.0,0,0,0,0,0,0,0,0
gi|343480069|gb|JF274245.1|betalactams|Class_A_betalactamases|CTX,0,0,0,0,0,0,0,46.0,0,0,0,51.0,0,0,0,0,76.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bla|CMY-34|EF394370|1-1146|1146|betalactams|Class_C_betalactamases|CMY,523.0,0,0,0,0,124.0,0,271.0,0,0,32.0,85.0,364.0,0,0,0,288.0,182.0,212.0,98.0,0,0,0,332.0,0,0,0,0,0,0,0
Mdr|CP000647.1|gene956|Multi-drug_resistance|MDR_mutant_porin_proteins|OMPF|RequiresSNPConfirmation,0,310.0,0,44.0,164.0,0,14.0,1360.0,121.0,0,0,57.0,0,0,0,0,1373.0,388.0,17.0,43.0,10.0,15.0,20.0,0,37.0,0,0,168.0,0,0,0
Flq|KJ158441.1|gene1|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRD,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184|KF823969.1|KF823969|Glycopeptides|VanB-type_regulator|VANRB,0,0,0,0,0,0,32.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGly|strB_3_AF024602|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH6,1476.0,1405.0,1427.0,1471.0,1403.0,1174.0,1424.0,1481.0,1483.0,981.0,1429.0,1460.0,1450.0,1380.0,1446.0,990.0,1477.0,1472.0,1381.0,1468.0,97.0,1459.0,1376.0,1465.0,1419.0,1451.0,1409.0,1138.0,940.0,647.0,1514.0
gi|110350793|emb|AM286274.1|betalactams|Class_A_betalactamases|TEM,0,0,0,0,0,0,0,0,0,0,0,34.0,0,0,0,0,0,0,60.0,0,0,0,0,0,0,0,0,0,0,0,0
Bla|SHV-145|JX013655|1-861|861|betalactams|Class_A_betalactamases|SHV,0,0,0,0,0,0,0,36.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARD|phgb|U00096|2812615-2814154|ARO:3000074|emrB|Multi-drug_resistance|Multi-drug_efflux_pumps|EMRB,2935.0,2390.0,2403.0,2942.0,2596.0,2878.0,1985.0,2956.0,2932.0,598.0,2997.0,2975.0,2915.0,2507.0,2896.0,906.0,2944.0,2988.0,2809.0,2921.0,915.0,2824.0,1048.0,2975.0,2853.0,2912.0,2994.0,2311.0,730.0,331.0,106.0
CARD|phgb|GU550123|144-1005|ARO:3001041|TEM-176|betalactams|Class_A_betalactamases|TEM,545.0,109.0,87.0,463.0,74.0,164.0,10.0,401.0,534.0,0,335.0,733.0,362.0,0,304.0,0,407.0,103.0,273.0,484.0,0,14.0,14.0,554.0,222.0,265.0,160.0,0,0,0,0
Bla|CMY-4|AF420597|1-1146|1146|betalactams|Class_C_betalactamases|CMY,736.0,0,0,71.0,0,160.0,0,424.0,50.0,0,54.0,134.0,504.0,0,0,0,361.0,335.0,308.0,157.0,0,0,0,429.0,0,0,50.0,0,0,0,0
Flq|NC_007793.3912939|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,0,0,0,0,0,0,97.0,0,0,46.0,0,0,0,0,0,0,0,0,0,0,0,0,114.0,0,0,0,0,0,0,0,0
Bla|CMY-21|DQ139328|1-1146|1146|betalactams|Class_C_betalactamases|CMY,536.0,0,0,49.0,0,98.0,0,298.0,45.0,0,0,60.0,344.0,0,0,0,244.0,217.0,232.0,116.0,0,0,0,312.0,0,0,0,0,0,0,0
179|M16217.1|PNS1CG|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TETK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2326.0
gi|74422852|gb|DQ174305.1|betalactams|Class_A_betalactamases|SHV,0,0,0,0,0,0,0,21.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gi|225698231|gb|FJ807656.1|betalactams|Class_A_betalactamases|TEM,209.0,114.0,0,180.0,0,70.0,0,144.0,202.0,0,91.0,245.0,152.0,0,76.0,0,147.0,0,159.0,163.0,0,0,0,192.0,0,80.0,0,0,0,0,0
gi|53854915|gb|AY743434.1|betalactams|Class_C_betalactamases|CMY,1008.0,0,0,113.0,0,292.0,0,670.0,81.0,0,105.0,203.0,776.0,0,0,0,610.0,515.0,527.0,315.0,0,0,0,716.0,0,18.0,49.0,0,0,0,0
CARD|phgb|AP009048|4306556-4307588|ARO:3003548|mdtN|Multi-drug_resistance|Multi-drug_efflux_pumps|MDTN,1893.0,1700.0,1729.0,1940.0,1781.0,1920.0,1579.0,1953.0,1941.0,443.0,1960.0,1967.0,1945.0,1749.0,1936.0,868.0,1956.0,1956.0,1864.0,1915.0,774.0,1812.0,897.0,1967.0,1884.0,1937.0,1933.0,1656.0,573.0,373.0,81.0
Bla|JX042489.1|gene1|betalactams|Class_A_betalactamases|TEM,0,0,0,0,0,0,0,0,48.0,0,0,0,0,0,0,0,0,0,187.0,0,0,0,0,0,0,0,0,0,0,0,0
CARD|phgb|U00096|2155262-2158385|ARO:3000793|mdtB|Multi-drug_resistance|Multi-drug_efflux_pumps|MDTB,6064.0,5242.0,5292.0,6163.0,5571.0,6028.0,4710.0,6151.0,6128.0,1465.0,6184.0,6152.0,6085.0,5436.0,6092.0,2353.0,6137.0,6172.0,5962.0,6101.0,1922.0,6036.0,2350.0,6164.0,6005.0,6111.0,6177.0,5393.0,1422.0,853.0,189.0
CARD|phgb|AF516719|214-1075|ARO:3000967|TEM-104|betalactams|Class_A_betalactamases|TEM,758.0,220.0,114.0,651.0,112.0,252.0,26.0,586.0,715.0,0,477.0,962.0,558.0,0,475.0,0,581.0,134.0,411.0,676.0,0,18.0,0,722.0,344.0,382.0,232.0,0,16.0,16.0,0
CARD|phgb|AJ437107|208-1069|ARO:3000900|TEM-30|betalactams|Class_A_betalactamases|TEM,615.0,127.0,109.0,529.0,63.0,154.0,0,467.0,605.0,0,371.0,762.0,447.0,0,379.0,0,447.0,89.0,278.0,535.0,0,22.0,0,561.0,271.0,301.0,161.0,0,0,22.0,0
CARD|phgb|U56415|279-1719|ARO:3002884|iri|Rifampin|Monooxygenase|IRI,0,0,27.0,0,0,20.0,45.0,0,0,27.0,0,0,0,0,0,0,0,20.0,0,0,0,27.0,52.0,0,0,0,0,0,0,0,0
1298|KM926622.1|KM926622|betalactams|Class_C_betalactamases|ACT,0,0,0,0,0,0,5.0,8.0,0,0,0,0,0,0,0,0,5.0,0,0,0,0,0,3.0,0,0,0,0,0,0,0,0
Rif|NC_002695.1.914942|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,4559.0,1626.0,722.0,5250.0,2966.0,3028.0,632.0,4916.0,5486.0,0,4011.0,5574.0,4115.0,1721.0,4352.0,707.0,4928.0,1992.0,2838.0,4135.0,308.0,1414.0,417.0,3483.0,3529.0,4849.0,3516.0,1527.0,0,0,0
Flq|AE016830.1|gene6|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,0,0,0,0,0,0,96.0,117.0,1217.0,0,0,0,0,0,0,0,124.0,78.0,0,220.0,0,0,0,0,0,89.0,0,0,80.0,0,3699.0
CARD|phgb|FJ768952|0-1488|ARO:3000237|tolC|Multi-drug_resistance|Multi-drug_efflux_pumps|TOLC,2823.0,2441.0,2466.0,2844.0,2483.0,2817.0,1743.0,2867.0,2868.0,520.0,2903.0,2881.0,2816.0,2625.0,2840.0,1076.0,2868.0,2865.0,2807.0,2856.0,918.0,2674.0,1045.0,2885.0,2783.0,2824.0,2883.0,2411.0,846.0,398.0,99.0
Mdr|NC_011586.7046391|Multi-drug_resistance|Multi-drug_efflux_pumps|ADEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.0,0,0,19.0,0,0,0,20.0,0,0,0,0
Flq|Qnr-S1|AB187515|9737-10393|657|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRS,0,145.0,0,238.0,0,0,0,624.0,0,0,0,235.0,0,0,0,0,693.0,0,0,0,0,0,0,0,0,45.0,0,0,0,0,0
CARD|phgb|AF252622|1740-2616|ARO:3001877|CTX-M-14|betalactams|Class_A_betalactamases|CTX,487.0,80.0,0,1166.0,0,359.0,0,107.0,0,0,361.0,1175.0,397.0,40.0,0,0,87.0,0,179.0,0,0,0,0,0,411.0,972.0,343.0,0,0,0,0
Flq|qnrB17|AM919398|37-681|645|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,0,0,0,0,0,0,0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1541|JF268688.1|JF268688|Phenicol|Chloramphenicol_acetyltransferases|CATB|RequiresSNPConfirmation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,683.0,0,0
MLS|LnuB|AJ238249|127-930|804|MLS|Lincosamide_nucleotidyltransferases|LNUB,0,0,107.0,0,73.0,0,66.0,0,82.0,62.0,182.0,0,0,0,0,0,0,29.0,0,115.0,0,47.0,80.0,21.0,0,0,83.0,66.0,108.0,0,409.0
CARD|phgb|AP009048|3980025-3981183|ARO:3000795|mdtE|Multi-drug_resistance|Multi-drug_efflux_pumps|MDTE,2204.0,2050.0,2101.0,2217.0,2143.0,2191.0,1936.0,2198.0,2218.0,827.0,2244.0,2224.0,2197.0,2137.0,2203.0,1166.0,2196.0,2209.0,2180.0,2216.0,1058.0,2169.0,1259.0,2227.0,2190.0,2196.0,2224.0,2080.0,958.0,452.0,140.0
gi|57232517|gb|AY853593.1|betalactams|Class_A_betalactamases|TEM,0,0,0,0,0,206.0,0,46.0,28.0,0,0,0,0,0,0,0,0,0,284.0,0,0,0,0,0,0,0,0,0,161.0,0,0
CARD|phgb|JX017365|244-1120|ARO:3001989|CTX-M-130|betalactams|Class_A_betalactamases|CTX,373.0,66.0,0,967.0,0,341.0,0,57.0,0,0,270.0,915.0,297.0,35.0,0,0,80.0,0,140.0,0,0,0,0,0,365.0,807.0,295.0,0,0,0,0
Bla|AF336097.1|gene1|betalactams|Mutant_porin_proteins|OMP36|RequiresSNPConfirmation,0,0,0,0,0,0,0,374.0,0,0,0,0,0,0,0,0,409.0,248.0,0,0,0,0,0,0,127.0,0,0,0,0,0,0
gi|291621298|dbj|AB551737.1|betalactams|Class_A_betalactamases|SHV,0,0,0,0,0,0,0,117.0,0,0,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGly|DQ677333.1|gene1|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0,0,270.0,1022.0,293.0,85.0,1030.0,228.0,95.0,55.0,569.0,1050.0,218.0,66.0,0,0,236.0,739.0,261.0,0,0,27.0,802.0,456.0,259.0,80.0,513.0,296.0,1120.0,37.0,1124.0
Tet|tetM_9_X56353|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,399.0,130.0,309.0,0,373.0,0,138.0,0,1861.0,0,134.0,0,248.0,704.0,295.0,152.0,0,42.0,432.0,172.0,0,0,349.0,1148.0,118.0,0,0,275.0,132.0,0,744.0
Tet|tetA_P_4_AB001076|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TETA,0,0,146.0,0,419.0,0,129.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0,0,0,0,0,596.0,0,0,0
gi|50347098|gb|AY661885.1|betalactams|Class_A_betalactamases|SHV,0,0,0,0,0,0,0,31.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1821|GQ149347.1|GQ149347|betalactams|Class_A_betalactamases|TEM,306.0,219.0,59.0,240.0,0,254.0,14.0,284.0,0,6.0,0,373.0,0,0,0,0,267.0,0,474.0,286.0,0,12.0,12.0,292.0,138.0,0,0,10.0,0,0,0
gi|694179059|gb|KM211509.1|betalactams|Class_A_betalactamases|CTX,0,0,0,34.0,0,0,0,93.0,0,0,0,91.0,0,0,0,0,113.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222|JQ394987.1|JQ394987|Multi-drug_resistance|Multi-drug_efflux_pumps|MDFA,2191.0,1514.0,1541.0,2231.0,1708.0,2102.0,1064.0,2261.0,2237.0,234.0,2328.0,2270.0,2142.0,1636.0,2161.0,471.0,2228.0,2268.0,1966.0,2174.0,394.0,1968.0,480.0,2259.0,2026.0,2141.0,2294.0,1504.0,350.0,151.0,44.0
Bla|TEM-209_1_KF240808|betalactams|Class_A_betalactamases|TEM,709.0,178.0,126.0,605.0,131.0,223.0,0,511.0,667.0,0,444.0,835.0,506.0,0,410.0,0,474.0,142.0,398.0,638.0,0,0,0,677.0,298.0,321.0,187.0,0,0,0,0
Bla|NC_010558.1.6276043|betalactams|Class_A_betalactamases|TEM,873.0,209.0,131.0,721.0,159.0,262.0,25.0,616.0,808.0,0,520.0,1029.0,575.0,24.0,497.0,0,630.0,177.0,450.0,766.0,0,23.0,0,816.0,373.0,395.0,251.0,10.0,0,21.0,0
Bla|CTX-M-21|AJ416346|557-1432|876|betalactams|Class_A_betalactamases|CTX,363.0,86.0,0,870.0,0,295.0,0,69.0,0,0,244.0,838.0,304.0,18.0,0,0,66.0,0,110.0,0,0,0,0,0,289.0,730.0,275.0,0,0,0,0
ACou|CP004022.1|gene2481|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154.0,0,0,0,0,0,0,0,0,0
Bla|CTX-M-48|AY847144|82-957|876|betalactams|Class_A_betalactamases|CTX,414.0,77.0,0,984.0,0,334.0,0,61.0,0,0,316.0,950.0,319.0,19.0,0,0,67.0,0,140.0,0,0,0,0,0,327.0,795.0,324.0,0,0,0,0
Bla|TEM-47|Y10279|1-861|861|betalactams|Class_A_betalactamases|TEM,0,30.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235.0,0,0,0,0,0,0,73.0,0,0,0,0,0
AGly|Ant6-Ib|FN594949|27482-28339|858|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT6,0,0,138.0,21.0,0,41.0,0,0,162.0,109.0,0,14.0,0,0,19.0,0,0,0,97.0,0,0,0,205.0,0,0,0,0,205.0,0,0,0
